title,date,link,text
Сграфито на ДиКиро събира архитекти и артисти,08.06.2022,https://www.marica.bg/imoti/sgrafito-na-dikiro-sabira-arhitekti-i-artisti,"
Сграфито „Майстора и неговите модели“, изработено от художника Димитър Киров - ДиКиро през 1975 г. в София, се превърна в повод ...
"
"Армията готова да се откаже от 91 дка в ""Гладно поле"", общината с развързани ръце",08.06.2022,https://www.marica.bg/imoti/armiqta-gotova-da-se-otkaje-ot-91-dka-v-gladno-pole-obshtinata-s-razvarzani-race,"
Шест военни имота с обща площ от 91 дка, в квартал „Гладно поле” са напът да преминат в активите на Община Пловдив, съобщи вчера...
"
Купувате къща на село? Вижте дали я има в кадастъра,08.06.2022,https://www.marica.bg/imoti/kupuvate-kashta-na-selo-vijte-dali-q-ima-v-kadastara,"
Покупката на имот е важна стъпка за всеки, която обаче крие известни рискове. Много хора се опитват да се справят сами, но има особености, з...
"
"След публикация на ""Марица"": Военните напът да припишат 6 имота на Община Пловдив",07.06.2022,https://www.marica.bg/imoti/sled-publikaciq-na-marica-voennite-napat-da-pripishat-6-imota-na-obshtina-plovdiv,"
Шест военни имота с обща площ от 91 дка в кв. „Гладно поле” са напът да преминат в активите на Община Пловдив.
В Министерството...
"
Старите имоти като виното - вижте лъвския им скок в Пловдив и страната,06.06.2022,https://www.marica.bg/imoti/starite-imoti-kato-vinoto-vijte-lavskiq-im-skok-v-plovdiv-i-stranata,"
През четвъртото тримесечие на 2021 г. годишният темп на растеж на индекса на цените на жилищата (ИЦЖ) възлезе на 9.4% (спрямо 8.7% през пред...
"
Правят биожилища с изолация от овча вълна,01.06.2022,https://www.marica.bg/imoti/pravqt-biojilishta-s-izolaciq-ot-ovcha-valna,"
Строителството все повече ще залага на екоматериалите в бъдеще. Те щадят природата и осигуряват по-добър комфорт на живот. 
Първите би...
"
"Инж. Димитър Начев: Международен екип от 670 инженери създаде моста чудо ""Чанаккале 1915""",01.06.2022,https://www.marica.bg/imoti/inj-dimitar-nachev-mejdunaroden-ekip-ot-670-injeneri-sazdade-mosta-chudo-chanakkale-1915,"
На 18 март 2022 година Турция откри най-дългия висящ мост в света “Чанаккале 1915“. Той свързва два континента - Европа с Азия. ...
"
Пловдив с нов мост - химера или реалност?,01.06.2022,https://www.marica.bg/imoti/plovdiv-s-nov-most-himera-ili-realnost,"
Изграждането на новия мост при бул. ""Копривщица"" - или двупътен жп мост над река ""Марица"" ​- е заложено в Плана за интегрирано развитие на О...
"
Брокерът съветва: Пет стъпки за ориентиране в пазара на имоти,01.06.2022,https://www.marica.bg/imoti/brokerat-savetva-pet-stapki-za-orientirane-v-pazara-na-imoti,"
Решението за покупка на имот е взето. Вие сте определили зоните, в които искате да имате ново жилище. Подредили сте ги по приоритет. Определ...
"
"Твърди цени и сигурност - гарантирано от ""Rеsidеntiаl Pаrk Plоvdiv""",01.06.2022,https://www.marica.bg/imoti/tvardi-ceni-i-sigurnost-garantirano-ot-residential-park-plovdiv,"
Продаваме на твърди цени, без промяна - въпреки че поскъпването на строителните материали, привлекателните банкови условия и исторически нис...
"
Кой е авторът на къщата близнак на търговеца Степан Месробович,25.05.2022,https://www.marica.bg/imoti/koy-e-avtorat-na-kashtata-bliznak-na-targoveca-stepan-mesrobovich,"
Да купиш сграда - паметник на културата, е нож с две остриета. В това са убедени много предприемачи, изминали трънливия път от безразличието...
"
"Брокерът съветва: Ако купувате ново жилище, задайте тези 5 въпроса",25.05.2022,https://www.marica.bg/imoti/brokerat-savetva-ako-kupuvate-novo-jilishte-zadayte-tezi-5-vaprosa,"
Цените на строителните материали се покачват, инфлацията също върви нагоре и разходите за живот продължават да бъдат предизвикателство за мн...
"
"Ощетявам ли съседа, като не допускам инкасатор на ВиК в дома си?",25.05.2022,https://www.marica.bg/imoti/oshtetqvam-li-saseda-kato-ne-dopuskam-inkasator-na-vik-v-doma-si,"
Наредба № 4 от 14.09.2004 г. за условията и реда за присъединяване на потребителите и за ползване на водоснабдителните и канализационните си...
"
Пловдивчани вдигат завод за 6 млн. в Бургас,18.05.2022,https://www.marica.bg/imoti/plovdivchani-vdigat-zavod-za-6-mln-v-burgas,"
Пловдивска компания е напът да развие свое производство и по родното Черноморие. Става дума за фирма „Хъс”, откъдето планират да...
"
Архитект търси завета на модернизма в Пловдив,18.05.2022,https://www.marica.bg/imoti/arhitekt-trsi-zaveta-na-modernizma-v-plovdiv,"
„Призванието ми е да създавам градове и пространства на бъдещето. Но най-много ми харесва контактът с хората“, твърди доц. д-р а...
"
